{'loss': 2.5274, 'grad_norm': 1.3477870225906372, 'learning_rate': 4.952659625083262e-05, 'epoch': 0.03}
{'loss': 1.9779, 'grad_norm': 2.0829575061798096, 'learning_rate': 4.905081358835284e-05, 'epoch': 0.06}
{'loss': 1.8082, 'grad_norm': 1.5685348510742188, 'learning_rate': 4.857503092587306e-05, 'epoch': 0.09}
{'loss': 1.714, 'grad_norm': 1.5430107116699219, 'learning_rate': 4.8099248263393284e-05, 'epoch': 0.11}
{'loss': 1.6223, 'grad_norm': 1.3101451396942139, 'learning_rate': 4.7623465600913504e-05, 'epoch': 0.14}
{'loss': 1.5321, 'grad_norm': 1.8433451652526855, 'learning_rate': 4.7147682938433725e-05, 'epoch': 0.17}
{'loss': 1.4808, 'grad_norm': 1.361572504043579, 'learning_rate': 4.6671900275953945e-05, 'epoch': 0.2}
{'loss': 1.4557, 'grad_norm': 1.361449956893921, 'learning_rate': 4.6196117613474166e-05, 'epoch': 0.23}
{'loss': 1.4269, 'grad_norm': 1.3449938297271729, 'learning_rate': 4.5720334950994386e-05, 'epoch': 0.26}
{'loss': 1.3855, 'grad_norm': 1.5604029893875122, 'learning_rate': 4.5244552288514607e-05, 'epoch': 0.29}
{'loss': 1.3598, 'grad_norm': 1.9394304752349854, 'learning_rate': 4.476876962603483e-05, 'epoch': 0.31}
{'loss': 1.3475, 'grad_norm': 1.2823872566223145, 'learning_rate': 4.429298696355505e-05, 'epoch': 0.34}
{'loss': 1.3245, 'grad_norm': 1.1917622089385986, 'learning_rate': 4.381720430107527e-05, 'epoch': 0.37}
{'loss': 1.3068, 'grad_norm': 1.328366994857788, 'learning_rate': 4.3341421638595495e-05, 'epoch': 0.4}
{'loss': 1.2826, 'grad_norm': 1.2590404748916626, 'learning_rate': 4.2865638976115716e-05, 'epoch': 0.43}
{'loss': 1.2792, 'grad_norm': 1.1936452388763428, 'learning_rate': 4.2389856313635936e-05, 'epoch': 0.46}
{'loss': 1.2576, 'grad_norm': 1.2530983686447144, 'learning_rate': 4.1914073651156157e-05, 'epoch': 0.49}
